OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad_
59,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,123,TIERRA DEL FUEGO,12301,PORVENIR,610,129,739,3383,2679,6062,3993,2808,6801,2440,747,3187,6.56143692,20462072272.6094,898301.32324965,7347.94824219,0.92556447
60,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6304,LOLOL,2297,2085,4382,1174,1255,2429,3471,3340,6811,1014,1968,2982,1.40817665,886407475.414062,173083.86496171,597.06903076,11.40739155
61,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9113,PERQUENCO,1689,1652,3341,1706,1858,3564,3395,3510,6905,1431,1446,2877,1.17636179,540513730.785156,143680.7710813,331.36169434,20.83825684
62,3,REGIÓN DE ATACAMA,33,HUASCO,3303,FREIRINA,1357,1095,2452,2200,2389,4589,3557,3484,7041,1758,1753,3511,4.11593934,4212751840.83398,490348.22580914,3223.52026367,2.18425798
63,14,REGIÓN DE LOS RÍOS,141,VALDIVIA,14105,MÁFIL,1492,1360,2852,2000,2243,4243,3492,3603,7095,1509,1203,2712,1.8726148,976636777.726562,232832.90861268,577.55908203,12.28445721
64,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9206,LOS SAUCES,1505,1342,2847,2102,2316,4418,3607,3658,7265,1764,1287,3051,1.688564,1369293325.76953,207025.0636871,849.45715332,8.55252075
65,5,REGIÓN DE VALPARAÍSO,57,SAN FELIPE DE ACONCAGUA,5704,PANQUEHUE,1751,1716,3467,1926,1880,3806,3677,3596,7273,1315,1199,2514,0.56763906,171872797.371094,66678.99915255,121.08937836,60.06306839
66,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6204,MARCHIHUE,2094,1893,3987,1651,1670,3321,3745,3563,7308,1500,1919,3419,1.65396539,967222047.478516,202216.29486691,657.71221924,11.11124325
67,5,REGIÓN DE VALPARAÍSO,54,PETORCA,5405,ZAPALLAR,1240,1086,2326,2464,2549,5013,3704,3635,7339,5161,1800,6961,0.95784655,408040672.052734,115527.97714886,289.02383423,25.39236832
68,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6103,COINCO,2024,1911,3935,1705,1719,3424,3729,3630,7359,1245,1563,2808,0.60801139,142817347.607422,72907.5176898,97.71389771,75.31170654
69,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9104,CURARREHUE,2709,2504,5213,1112,1164,2276,3821,3668,7489,932,2349,3281,2.48636867,1948683222.03125,316553.80599215,1168.32177734,6.41004896
70,10,REGIÓN DE LOS LAGOS,103,OSORNO,10306,SAN JUAN DE LA COSTA,3399,2943,6342,612,558,1170,4011,3501,7512,1687,3627,5314,2.60686106,2630425915.47266,328155.2382106,1518.11816406,4.94823122
71,7,REGIÓN DEL MAULE,72,CAUQUENES,7203,PELLUHUE,1819,1671,3490,1946,2135,4081,3765,3806,7571,3501,2290,5791,1.29495048,564084594.837891,160176.48610796,369.66906738,20.48048019
72,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9204,ERCILLA,2116,1977,4093,1701,1939,3640,3817,3916,7733,1448,1373,2821,1.74189719,805995433.855469,212005.20288951,498.68188477,15.50687981
73,5,REGIÓN DE VALPARAÍSO,52,ISLA DE PASCUA,5201,ISLA DE PASCUA,225,203,428,3594,3728,7322,3819,3931,7750,2835,301,3136,0.74682673,207903357.746094,87393.72096191,164.09561157,47.2285614
74,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10210,QUINCHAO,2485,2394,4879,1456,1753,3209,3941,4147,8088,1339,2227,3566,2.27815084,291215727.398438,290462.89890209,157.69084167,51.2902298
75,7,REGIÓN DEL MAULE,71,TALCA,7107,PENCAHUE,2548,2259,4807,1694,1744,3438,4242,4003,8245,1254,2301,3555,1.75960731,1438625970.35156,214402.30567624,956.38098145,8.6210413
76,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10209,QUEMCHI,3090,2750,5840,1218,1294,2512,4308,4044,8352,1126,2734,3860,3.63759537,802604000.988281,460274.69603099,440.70068359,18.95163918
77,7,REGIÓN DEL MAULE,71,TALCA,7106,PELARCO,2980,2855,5835,1251,1336,2587,4231,4191,8422,920,2362,3282,1.14414628,498573968.658203,137191.77152442,330.84240723,25.45622826
78,16,REGIÓN DE ÑUBLE,161,DIGUILLÍN,16105,PEMUCO,2194,2086,4280,2027,2141,4168,4221,4227,8448,1541,1889,3430,2.02686031,882226498.515625,242420.85666364,562.33685303,15.02302361
79,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6308,PLACILLA,3234,3129,6363,1198,1177,2375,4432,4306,8738,844,2336,3180,0.55438262,213666461.505859,67740.83434965,144.26750183,60.56804276
80,7,REGIÓN DEL MAULE,72,CAUQUENES,7202,CHANCO,2596,2411,5007,1854,2067,3921,4450,4478,8928,1609,2095,3704,1.33527325,802100029.705078,165847.52493086,528.56341553,16.8910675
81,10,REGIÓN DE LOS LAGOS,104,PALENA,10403,HUALAIHUÉ,2876,2427,5303,1825,1816,3641,4701,4243,8944,1686,2753,4439,6.29963137,5268254767.21094,811101.65397602,2891.75219727,3.09293437
82,10,REGIÓN DE LOS LAGOS,103,OSORNO,10302,PUERTO OCTAY,3680,3266,6946,1041,1012,2053,4721,4278,8999,758,3341,4099,3.03996818,3145091512.62109,370381.02266186,1793.4498291,5.01770401
83,4,REGIÓN DE COQUIMBO,42,CHOAPA,4202,CANELA,3680,3453,7133,952,1008,1960,4632,4461,9093,1009,4269,5278,2.93368022,3023150715.03125,354071.93793061,2196.67211914,4.13944387
84,7,REGIÓN DEL MAULE,71,TALCA,7110,SAN RAFAEL,2166,2057,4223,2403,2565,4968,4569,4622,9191,1782,1811,3593,0.96793795,395618296.789062,117189.34897537,262.28567505,35.0419426
85,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,1405,PICA,4626,758,5384,1924,1988,3912,6550,2746,9296,2067,659,2726,5.99204294,10298034749.5605,691138.31807882,8983.28222656,1.03481102
86,7,REGIÓN DEL MAULE,71,TALCA,7103,CUREPTO,3212,2847,6059,1640,1749,3389,4852,4596,9448,1484,3072,4556,1.8814499,1600601692.93945,232997.13530232,1068.86877441,8.83925152
