CODIGO_POSTAL_COMUNA,COMUNA,NOM_COMUNA
4780000,9101,TEMUCO
3360000,7308,TENO
4990000,9117,TEODORO SCHMIDT
1580000,3103,TIERRA AMARILLA
9420000,13303,TILTIL
6320000,12303,TIMAUKEL
4410000,8207,TIRÚA
1340000,2301,TOCOPILLA
4980000,9118,TOLTÉN
4160000,8111,TOMÉ
6170000,12402,TORRES DEL PAINE
6120000,11303,TORTEL
4730000,9210,TRAIGUÉN
3980000,16207,TREGUACO
4480000,8312,TUCAPEL
5090000,14101,VALDIVIA
1610000,3301,VALLENAR
2340000,5101,VALPARAÍSO
3420000,7309,VICHUQUÉN
4720000,9211,VICTORIA
1760000,4106,VICUÑA
4880000,9119,VILCÚN
3650000,7407,VILLA ALEGRE
6500000,5804,VILLA ALEMANA
4930000,9120,VILLARRICA
2520000,5109,VIÑA DEL MAR
7630000,13132,VITACURA
3600000,7408,YERBAS BUENAS
4580000,8313,YUMBEL
3920000,16109,YUNGAY
2060000,5405,ZAPALLAR
